ID,Label,Num_Con,IAU_bool
eta UMa,eta UMa,17,False
zet Ori,zet Ori,11,False
eps Gru,eps Gru,1,False
del Ori,del Ori,15,False
alf CMi,alf CMi,5,True
alf Tau,alf Tau,8,False
bet Ari,bet Ari,1,False
kap Peg,kap Peg,1,False
eps Del,eps Del,10,False
gam Aql,gam Aql,3,True
gam02 Sgr,gam02 Sgr,1,False
tau Sco,tau Sco,1,False
alf Cen A,alf Cen A,8,False
tet CrB,tet CrB,12,False
eps Sco,eps Sco,2,False
eps Sgr,eps Sgr,6,False
gam Cru,gam Cru,2,False
alf Gem,alf Gem,9,False
alf Her,alf Her,4,True
sig Sco,sig Sco,1,False
eps Hya,eps Hya,4,False
del Crv,del Crv,4,True
bet Ori,bet Ori,2,False
alf01 Cru,alf01 Cru,19,False
gam Cen,gam Cen,2,True
eps Cen,eps Cen,2,True
del UMa,del UMa,7,False
phi Sgr,phi Sgr,3,True
alf Eri,alf Eri,1,False
kap02 CrA,kap02 CrA,1,False
G Sco,G Sco,2,False
bet01 Sco,bet01 Sco,3,False
bet UMa,bet UMa,3,False
gam UMa,gam UMa,3,True
gam Ori,gam Ori,3,False
bet Cen,bet Cen,4,False
alf Car,alf Car,5,False
alf Leo,alf Leo,6,False
bet Tri,bet Tri,1,False
ups Per,ups Per,1,True
alf Ant,alf Ant,1,True
iot Aql,iot Aql,1,False
eps Aqr,eps Aqr,3,True
alf Ara,alf Ara,2,True
gam01 Ari,gam01 Ari,4,True
alf Aur,alf Aur,4,True
alf Boo,alf Boo,6,False
bet Cae,bet Cae,1,True
HD  21291,HD  21291,1,True
bet01 Cap,bet01 Cap,1,True
alf01 Cap,alf01 Cap,1,False
bet Cas,bet Cas,4,True
gam Cep,gam Cep,2,True
mu. Her,mu. Her,2,False
del Cet,del Cet,1,True
gam Cet,gam Cet,2,True
bet CMa,bet CMa,5,False
kap Cnc,kap Cnc,1,True
bet Col,bet Col,1,True
gam Com,gam Com,2,False
alf Crt,alf Crt,4,True
alf Crv,alf Crv,3,True
alf02 CVn,alf02 CVn,3,True
alf Cyg,alf Cyg,9,False
gam Dor,gam Dor,2,True
HD  81817,HD  81817,1,True
alf Equ,alf Equ,3,True
bet Eri,bet Eri,4,False
lam Eri,lam Eri,1,False
del01 Gru,del01 Gru,1,True
bet Hyi,bet Hyi,3,True
alf Ind,alf Ind,2,True
2 Lac,2 Lac,1,True
alf Lep,alf Lep,2,True
alf02 Lib,alf02 Lib,4,True
37 LMi,37 LMi,2,False
lam Leo,lam Leo,2,True
alf Lup,alf Lup,3,True
bet Lup,bet Lup,2,False
1 Lyn,1 Lyn,2,False
eps01 Lyr,eps01 Lyr,1,True
alf Mic,alf Mic,1,True
zet Mon,zet Mon,1,True
35 Ari,35 Ari,2,False
bet Mus,bet Mus,2,True
alf Oph,alf Oph,3,True
72 Oph,72 Oph,1,False
alf Ori,alf Ori,6,False
alf Pav,alf Pav,3,True
alf And,alf And,6,False
eta Per,eta Per,1,True
mu. Per,mu. Per,1,False
bet Phe,bet Phe,2,True
alf PsA,alf PsA,4,True
l Psc,l Psc,1,True
bet Pyx,bet Pyx,1,True
alf Ret,alf Ret,3,True
alf Scl,alf Scl,2,True
kap Sco,kap Sco,2,False
i Aql,i Aql,2,True
kap Ser,kap Ser,1,True
gam Sge,gam Sge,3,True
sig Sgr,sig Sgr,3,False
zet Tau,zet Tau,4,True
alf TrA,alf TrA,3,True
alf Tri,alf Tri,3,True
alf Tuc,alf Tuc,2,True
alf UMi,alf UMi,9,False
alf Vir,alf Vir,3,True
2 Vul,2 Vul,2,False
bet Tau,bet Tau,4,False
31 Leo,31 Leo,1,False
lam Sco,lam Sco,6,False
gam Gru,gam Gru,2,True
alf CMa,alf CMa,3,True
del Boo,del Boo,3,False
del Cnc,del Cnc,1,False
del Sco,del Sco,2,False
bet Car,bet Car,1,False
gam Cas,gam Cas,1,False
omi UMa,omi UMa,1,False
iot Ant,iot Ant,1,True
alf Aps,alf Aps,1,True
bet Aql,bet Aql,4,True
gam Ara,gam Ara,1,True
gam Cae,gam Cae,1,True
7 Cam,7 Cam,1,True
alf Cnc,alf Cnc,3,True
alf02 Cap,alf02 Cap,1,True
eta Cep,eta Cep,2,True
alf Cha,alf Cha,1,True
bet Cir,bet Cir,1,True
alf Col,alf Col,2,True
alf Com,alf Com,2,True
gam CrA,gam CrA,1,True
lam Dra,lam Dra,2,True
alf For,alf For,1,True
ksi Gem,ksi Gem,1,True
del Her,del Her,1,True
alf Hor,alf Hor,1,True
rho Hya,rho Hya,1,True
bet Ind,bet Ind,1,True
5 Lac,5 Lac,2,True
10 LMi,10 LMi,2,True
eps Lep,eps Lep,1,True
alf Lyn,alf Lyn,1,True
alf Lyr,alf Lyr,4,True
15 Mon,15 Mon,2,True
lam Mus,lam Mus,1,True
eta Nor,eta Nor,1,True
del Oct,del Oct,1,True
pi. Peg,pi. Peg,1,True
omi Per,omi Per,1,True
alf Phe,alf Phe,1,True
alf Pic,alf Pic,1,True
phi Psc,phi Psc,1,True
gam02 Vel,gam02 Vel,1,True
zet Pup,zet Pup,1,True
bet Sct,bet Sct,1,True
bet Ser,bet Ser,1,True
gam Sex,gam Sex,1,True
eps Tel,eps Tel,1,True
bet01 Tuc,bet01 Tuc,1,True
del Vel,del Vel,2,False
eta Vir,eta Vir,1,True
alf Vol,alf Vol,1,True
alf Vul,alf Vul,2,True
eps UMa,eps UMa,3,False
eta CMa,eta CMa,1,False
alf UMa,alf UMa,2,False
alf Peg,alf Peg,2,False
eps CrA,eps CrA,1,False
del Cen,del Cen,1,False
eps Cas,eps Cas,5,False
gam UMi,gam UMi,1,False
kap Vel,kap Vel,1,False
ksi02 Sgr,ksi02 Sgr,1,False
zet Sgr,zet Sgr,1,False
ups Sco,ups Sco,2,True
zet01 Sco,zet01 Sco,1,False
tet Cap,tet Cap,1,False
zet Cap,zet Cap,1,False
kap02 Tau,kap02 Tau,2,False
gam01 And,gam01 And,2,True
eps Cyg,eps Cyg,1,True
del Cap,del Cap,1,True
ksi Dra,ksi Dra,1,True
sig Lib,sig Lib,1,True
bet Psc,bet Psc,1,True
ups Boo,ups Boo,1,True
gam Col,gam Col,1,True
k Aqr,k Aqr,1,True
ksi01 Cet,ksi01 Cet,1,True
c Ori,c Ori,1,False
tau Her,tau Her,1,True
pi. Ser,pi. Ser,1,False
f Lup,f Lup,1,True
zet Per,zet Per,1,True
bet Cam,bet Cam,1,True
gam Per,gam Per,1,True
ksi Her,ksi Her,1,False
bet CrB,bet CrB,1,True
eps Ser,eps Ser,1,True
eta Aql,eta Aql,1,False
alf Psc,alf Psc,1,True
bet Aqr,bet Aqr,1,True
nu. Cap,nu. Cap,1,True
pi. Hya,pi. Hya,1,True
30 Psc,30 Psc,1,True
alf Dor,alf Dor,1,True
alf Gru,alf Gru,1,True
iot UMa,iot UMa,1,False
iot Cnc,iot Cnc,1,False
zet UMi,zet UMi,1,False
eps Boo,eps Boo,1,False
iot Ori,iot Ori,1,False
gam TrA,gam TrA,2,False
eta Tau,eta Tau,1,False
ups UMa,ups UMa,1,False
